timestep,FILE
10,image/10.0.png
11,image/11.0.png
12,image/12.0.png
13,image/13.0.png
14,image/14.0.png
15,image/15.0.png
16,image/16.0.png
17,image/17.0.png
18,image/18.0.png
19,image/19.0.png
20,image/20.0.png
